serial_no,word,page_no,level
197,devoted,69,upper_intermediate
198,diarrhoea,48,upper_intermediate
199,dictatorship,54,upper_intermediate
200,digital,3,upper_intermediate
201,dim,64,upper_intermediate
202,dimension,59,upper_intermediate
203,din,61,upper_intermediate
204,diplomat,54,upper_intermediate
205,disability allowance,56,upper_intermediate
206,disapprove,9,upper_intermediate
207,disbelieve,9,upper_intermediate
208,disconnect,9,upper_intermediate
209,discontented,68,upper_intermediate
210,discredit,9,upper_intermediate
211,discreet,9,upper_intermediate
212,disembark,87,upper_intermediate
213,dislocate,48,upper_intermediate
214,dismount,96,upper_intermediate
215,disobedient,9,upper_intermediate
216,disorder,30,upper_intermediate
217,display,96,upper_intermediate
218,disprove,9,upper_intermediate
219,disqualify,9,upper_intermediate
220,dissect,52,upper_intermediate
221,dissimilar,9,upper_intermediate
222,distant,59,upper_intermediate
223,district,45,upper_intermediate
224,diversion,11,upper_intermediate
225,divert,10,upper_intermediate
226,dogmatic,67,upper_intermediate
227,doughnuts,95,upper_intermediate
228,down with,19,upper_intermediate
229,down-to-earth,34,upper_intermediate
230,downpour,32,upper_intermediate
231,dozens of,57,upper_intermediate
232,draughts,27,upper_intermediate
233,drawback,14,upper_intermediate
234,dreadful,8,upper_intermediate
235,dreadlocks,94,upper_intermediate
236,dress,47,upper_intermediate
237,dresser,3,upper_intermediate
238,drift,63,upper_intermediate
239,drinks like a fish,76,upper_intermediate
240,drip-dry,12,upper_intermediate
241,drive a hard bargain,83,upper_intermediate
242,drive-in,12,upper_intermediate
243,drop a clanger,74,upper_intermediate
244,dropout,14,upper_intermediate
245,drunk,76,upper_intermediate
246,drunken driving,55,upper_intermediate
247,dukedom,11,upper_intermediate
248,dungarees,27,upper_intermediate
249,dust-proof,12,upper_intermediate
250,eagerly,70,upper_intermediate
251,earldom,11,upper_intermediate
252,earlier on,20,upper_intermediate
253,early retirement,40,upper_intermediate
254,eat like a horse,76,upper_intermediate
255,eccentric,67,upper_intermediate
256,eco-friendly,99,upper_intermediate
257,ecstasy,68,upper_intermediate
258,edgeways,82,upper_intermediate
259,eggplant,93,upper_intermediate
260,egotistical,12,upper_intermediate
261,eightish,8,upper_intermediate
262,elderly,49,upper_intermediate
263,elders,35,upper_intermediate
264,elegant,"33,",upper_intermediate
265,elevator,93,upper_intermediate
266,elite,16,upper_intermediate
267,embassy,54,upper_intermediate
268,endangered species,46,upper_intermediate
269,endure,89,upper_intermediate
270,energy-rich,46,upper_intermediate
271,ensue,22,upper_intermediate
272,Esso,98,upper_intermediate
273,estuary,44,upper_intermediate
274,eternal,58,upper_intermediate
275,ethnic,31,upper_intermediate
276,Eve-teaser,94,upper_intermediate
277,number,51,upper_intermediate
278,even-tempered,34,upper_intermediate
279,evening class,45,upper_intermediate
280,evergreen,46,upper_intermediate
281,every and then,75,upper_intermediate
282,excursion,50,upper_intermediate
283,exhausted,12,upper_intermediate
284,exhibit,"42,",upper_intermediate
285,expelled,2,upper_intermediate
286,expose,10,upper_intermediate
287,express,10,upper_intermediate
288,eye to eye,35,upper_intermediate
289,faith,11,upper_intermediate
290,fallout,14,upper_intermediate
291,falter,65,upper_intermediate
292,familiarity,11,upper_intermediate
293,fanatical,67,upper_intermediate
294,farewell,7,upper_intermediate
295,fascinate,69,upper_intermediate
296,fatwa,99,upper_intermediate
297,faucet,93,upper_intermediate
298,feedback,14,upper_intermediate
299,felicitate,94,upper_intermediate
300,female,46,upper_intermediate
301,fir tree,46,upper_intermediate
302,fire-ball,38,upper_intermediate
303,fire-proof,12,upper_intermediate
304,firm,67,upper_intermediate
305,first-class,12,upper_intermediate
306,first-rate,81,upper_intermediate
307,first impression,33,upper_intermediate
308,five finger discount,95,upper_intermediate
309,ford,16,upper_intermediate
310,flat-footed,12,upper_intermediate
311,flatmate,35,upper_intermediate
312,flaw,52,upper_intermediate
313,flexi-time,40,upper_intermediate
314,flogging,55,upper_intermediate
315,fluent,3,upper_intermediate
316,flutter,73,upper_intermediate
317,fly in the face of,74,upper_intermediate
318,fly off the handle,74,upper_intermediate
319,fool-proof,12,upper_intermediate
320,foot the bill,83,upper_intermediate
321,football,"41,",upper_intermediate
322,footballer,41,upper_intermediate
323,footlights,13,upper_intermediate
324,footpath,44,upper_intermediate
325,for all that,23,upper_intermediate
326,for the time being,58,upper_intermediate
327,foreign correspondent,53,upper_intermediate
328,forest,44,upper_intermediate
329,forge,55,upper_intermediate
330,formation,52,upper_intermediate
331,formula,51,upper_intermediate
332,fortitude,11,upper_intermediate
333,fortune,89,upper_intermediate
334,fragrant,71,upper_intermediate
335,fraternity,11,upper_intermediate
336,freshen up,83,upper_intermediate
337,frighten the life out of,79,upper_intermediate
338,frost,32,upper_intermediate
339,full of oneself,34,upper_intermediate
340,furious,70,upper_intermediate
341,gangplank,49,upper_intermediate
342,gargle,17,upper_intermediate
343,gauze,15,upper_intermediate
344,general,97,upper_intermediate
345,first-born,12,upper_intermediate
346,first-hand,12,upper_intermediate
347,first and foremost,77,upper_intermediate
348,flicker,61,upper_intermediate
349,forceps,40,upper_intermediate
350,frank,34,upper_intermediate
351,freshen,83,upper_intermediate
352,stop,4,upper_intermediate
353,furry,64,upper_intermediate
354,fuselage,49,upper_intermediate
355,futon,16,upper_intermediate
356,gang,29,upper_intermediate
357,gems,92,upper_intermediate
358,generation,13,upper_intermediate
359,getaway,14,upper_intermediate
360,ghetto,16,upper_intermediate
361,ghost,71,upper_intermediate
362,gift of the gab,81,upper_intermediate
363,gifted,34,upper_intermediate
364,give take,77,upper_intermediate
365,glen,94,upper_intermediate
366,glitter,61,upper_intermediate
367,gnarled,64,upper_intermediate
368,go-ahead,92,upper_intermediate
369,good-looking,33,upper_intermediate
370,good-tempered,"12,",upper_intermediate
371,grass roots,13,upper_intermediate
372,green fingers,81,upper_intermediate
373,gypsy,15,upper_intermediate
374,hair-restorer,8,upper_intermediate
375,half-witted,34,upper_intermediate
376,Hampstead Heath,95,upper_intermediate
377,hand-made,12,upper_intermediate
378,hands-on,99,upper_intermediate
379,hard-hearted,12,upper_intermediate
380,harem,16,upper_intermediate
381,harmless,8,upper_intermediate
382,hatch,73,upper_intermediate
383,have a,95,upper_intermediate
384,hay fever,13,upper_intermediate
385,haze,32,upper_intermediate
386,head-on,12,upper_intermediate
387,heart of,78,upper_intermediate
388,heat wave,32,upper_intermediate
389,hectic,45,upper_intermediate
390,heed,38,upper_intermediate
391,hem,47,upper_intermediate
392,herculean,15,upper_intermediate
393,here and,75,upper_intermediate
394,here and there,77,upper_intermediate
395,hi-jacking,55,upper_intermediate
396,hibernate,"1,",upper_intermediate
397,high and dry,77,upper_intermediate
398,high jump,41,upper_intermediate
399,high-heeled,12,upper_intermediate
400,high-necked,12,upper_intermediate
401,hiss,61,upper_intermediate
402,hit the sack,74,upper_intermediate
403,hoarse,19,upper_intermediate
404,hockey,41,upper_intermediate
405,hold-up,14,upper_intermediate
406,hollow,64,upper_intermediate
407,home-made,12,upper_intermediate
408,-hood,11,upper_intermediate
409,hooligan,15,upper_intermediate
410,hoot,73,upper_intermediate
411,horn,46,upper_intermediate
412,horror,11,upper_intermediate
413,hospital,48,upper_intermediate
414,host,29,upper_intermediate
415,hostility,11,upper_intermediate
416,hot and cold,77,upper_intermediate
417,hot-headed,12,upper_intermediate
418,hourly,18,upper_intermediate
419,house-trained,73,upper_intermediate
420,hum,61,upper_intermediate
421,human,97,upper_intermediate
422,humid,32,upper_intermediate
423,humour,11,upper_intermediate
424,hump,46,upper_intermediate
425,hurricane,32,upper_intermediate
426,husband,35,upper_intermediate
427,hypocritical,12,upper_intermediate
428,hypothesis,52,upper_intermediate
429,ice field,44,upper_intermediate
430,ice-skating,41,upper_intermediate
431,if all else fails,75,upper_intermediate
432,igloo,16,upper_intermediate
433,ill-mannered,34,upper_intermediate
434,illegible,9,upper_intermediate
435,illiterate,9,upper_intermediate
436,illusion,11,upper_intermediate
437,imagination,11,upper_intermediate
438,immature,9,upper_intermediate
439,impartial,9,upper_intermediate
440,impatient,70,upper_intermediate
441,impolite,34,upper_intermediate
442,impossible,60,upper_intermediate
443,impress,10,upper_intermediate
444,in favour of,67,upper_intermediate
445,in the event of,21,upper_intermediate
446,in the meantime,20,upper_intermediate
447,incisor,46,upper_intermediate
448,independence,54,upper_intermediate
